SiteNo,SPOFQuestionId,AnswerValue,OriginalMarker,DetailedComments,SourceWorkbook,SourceSheet,SourceRowNumber,SourceColumnStart,SourceColumnEnd,ValidationStatus
PHX01,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,199,202,Valid
RAL01,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,203,206,Valid
RAL02,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,207,210,Valid
RAL03,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,211,214,Valid
RCH01,2.0599999999999987,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,215,218,Valid
RIC01,2.0599999999999987,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,219,222,Valid
RIC02,2.0599999999999987,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,223,226,Valid
SLC03,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,227,230,Valid
SLC04.01,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,231,234,Valid
SLC04.02,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,235,238,Valid
SLC04.03,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,239,242,Valid
SLC07,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,243,246,Valid
SLC09,2.0599999999999987,Yes,X,"We do have mechanical bypasses for all lines. With our larger A/B lines having a SBM system they do not have individual manual bypasses. Each UPS does have a dedicated input breaker, allowing us to fully isolate each module.",Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,247,250,Valid
SLC10,2.0599999999999987,Yes,X,"We do have mechanical bypasses for all lines, with our larger A/B lines having a SBM system they do not have individual manual bypasses. Each UPS does have a dedicated input breaker, allowing us to fully isolate each module.",Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,251,254,Valid
TPA01,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,255,258,Valid
TPA02,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,259,262,Valid
TPA03,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,263,266,Valid
TPA04,2.0599999999999987,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,48,267,270,Valid
ABE01,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,7,10,Valid
ATL01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,11,14,Valid
ATL02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,15,18,Valid
ATL03,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,19,22,Valid
ATL04,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,23,26,Valid
ATL05,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,27,30,Valid
CIN01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,31,34,Valid
CIN02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,35,38,Valid
CLT01,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,39,42,Valid
CLT02,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,43,46,Valid
CLT03,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,47,50,Valid
CLT04,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,51,54,Valid
CLT05,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,55,58,Valid
DAL01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,59,62,Valid
DAL02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,63,66,Valid
DAL03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,67,70,Valid
DAL04,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,71,74,Valid
DAL05,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,75,78,Valid
DEN02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,79,82,Valid
DEN03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,83,86,Valid
DEN05.01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,87,90,Valid
DEN05.02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,91,94,Valid
DEN11,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,95,98,Valid
DFW01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,99,102,Valid
FLL01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,103,106,Valid
FLL02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,107,110,Valid
JAX01,2.0699999999999985,N/A,X,No UPS system in JAX1 Covered by JAX2,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,111,114,Valid
JAX02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,115,118,Valid
LAS03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,119,122,Valid
LAS04,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,123,126,Valid
LAS05,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,127,130,Valid
LOU02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,131,134,Valid
LOU03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,135,138,Valid
LOU04,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,139,142,Valid
LOU05,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,143,146,Valid
MSP01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,147,150,Valid
NAS01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,151,154,Valid
NAS02,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,155,158,Valid
NAS03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,159,162,Valid
NAS04,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,163,166,Valid
NAS05,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,167,170,Valid
NAS06,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,171,174,Valid
PDX01.01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,175,178,Valid
PDX01.02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,179,182,Valid
PDX02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,183,186,Valid
PDX03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,187,190,Valid
PDX04,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,191,194,Valid
PHL01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,195,198,Valid
PHX01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,199,202,Valid
RAL01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,203,206,Valid
RAL02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,207,210,Valid
RAL03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,211,214,Valid
RCH01,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,215,218,Valid
RIC01,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,219,222,Valid
RIC02,2.0699999999999985,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,223,226,Valid
SLC03,2.0699999999999985,Yes,X,They work. This system could use grooming but has shown effective isolation of potential battery faults.,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,227,230,Valid
SLC04.01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,231,234,Valid
SLC04.02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,235,238,Valid
SLC04.03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,239,242,Valid
SLC07,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,243,246,Valid
SLC09,2.0699999999999985,Yes,X,They work. This system could use grooming but has shown effective isolation of potential battery faults.,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,247,250,Valid
SLC10,2.0699999999999985,Yes,X,They work. This system could use grooming but has shown effective isolation of potential battery faults.,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,251,254,Valid
TPA01,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,255,258,Valid
TPA02,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,259,262,Valid
TPA03,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,263,266,Valid
TPA04,2.0699999999999985,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,49,267,270,Valid
ABE01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,7,10,Blank
ATL01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,11,14,Blank
ATL02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,15,18,Blank
ATL03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,19,22,Blank
ATL04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,23,26,Blank
ATL05,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,27,30,Blank
CIN01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,31,34,Blank
CIN02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,35,38,Blank
CLT01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,39,42,Blank
CLT02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,43,46,Blank
CLT03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,47,50,Blank
CLT04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,51,54,Blank
CLT05,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,55,58,Blank
DAL01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,59,62,Blank
DAL02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,63,66,Blank
DAL03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,67,70,Blank
DAL04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,71,74,Blank
DAL05,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,75,78,Blank
DEN02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,79,82,Blank
DEN03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,83,86,Blank
DEN05.01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,87,90,Blank
DEN05.02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,91,94,Blank
DEN11,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,95,98,Blank
DFW01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,99,102,Blank
FLL01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,103,106,Blank
FLL02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,107,110,Blank
JAX01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,111,114,Blank
JAX02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,115,118,Blank
LAS03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,119,122,Blank
LAS04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,123,126,Blank
LAS05,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,127,130,Blank
LOU02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,131,134,Blank
LOU03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,135,138,Blank
LOU04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,139,142,Blank
LOU05,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,143,146,Blank
MSP01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,147,150,Blank
NAS01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,151,154,Blank
NAS02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,155,158,Blank
NAS03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,159,162,Blank
NAS04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,163,166,Blank
NAS05,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,167,170,Blank
NAS06,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,171,174,Blank
PDX01.01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,175,178,Blank
PDX01.02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,179,182,Blank
PDX02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,183,186,Blank
PDX03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,187,190,Blank
PDX04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,191,194,Blank
PHL01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,195,198,Blank
PHX01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,199,202,Blank
RAL01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,203,206,Blank
RAL02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,207,210,Blank
RAL03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,211,214,Blank
RCH01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,215,218,Blank
RIC01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,219,222,Blank
RIC02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,223,226,Blank
SLC03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,227,230,Blank
SLC04.01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,231,234,Blank
SLC04.02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,235,238,Blank
SLC04.03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,239,242,Blank
SLC07,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,243,246,Blank
SLC09,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,247,250,Blank
SLC10,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,251,254,Blank
TPA01,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,255,258,Blank
TPA02,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,259,262,Blank
TPA03,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,263,266,Blank
TPA04,3,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,50,267,270,Blank
ABE01,3.01,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,7,10,Valid
ATL01,3.01,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,11,14,Valid
ATL02,3.01,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,15,18,Valid
ATL03,3.01,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,19,22,Valid
ATL04,3.01,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,23,26,Valid
ATL05,3.01,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,27,30,Valid
CIN01,3.01,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,31,34,Valid
CIN02,3.01,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,35,38,Valid
CLT01,3.01,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,39,42,Valid
CLT02,3.01,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,43,46,Valid
CLT03,3.01,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,47,50,Valid
CLT04,3.01,Yes,x,CLT4 switchgear is feed from a Duke Energy owned transfer switch that has 2 sub stations,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,51,54,Valid
CLT05,3.01,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,55,58,Valid
DAL01,3.01,No,X,Oncor has a vista switch in their vault they can switch to another source.,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,51,59,62,Valid
