AssetId,SiteNo,SiteName,CategoryName,OverallScore,EqCriticality,EqOperatingIssues,EqRedundancy,EqServiceSupport,EqAge,SiteBusinessPriority,EqEfficiency,EqMainCost,EqLoading,ROMReplacementCost,BudgetYear,ROMCostInBudgetYear,SourceWorkbook,SourceSheet,SourceRowNumber,CalculationLayer,ValidationStatus,IsTestRecord
106,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,66,Scoring Engine -> Output- Asset Scores,Valid,false
107,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,67,Scoring Engine -> Output- Asset Scores,Valid,false
108,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,68,Scoring Engine -> Output- Asset Scores,Valid,false
109,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,69,Scoring Engine -> Output- Asset Scores,Valid,false
110,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,70,Scoring Engine -> Output- Asset Scores,Valid,false
111,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,71,Scoring Engine -> Output- Asset Scores,Valid,false
112,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,72,Scoring Engine -> Output- Asset Scores,Valid,false
113,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,73,Scoring Engine -> Output- Asset Scores,Valid,false
114,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,74,Scoring Engine -> Output- Asset Scores,Valid,false
158,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,75,Scoring Engine -> Output- Asset Scores,Valid,false
159,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,76,Scoring Engine -> Output- Asset Scores,Valid,false
160,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,77,Scoring Engine -> Output- Asset Scores,Valid,false
161,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,78,Scoring Engine -> Output- Asset Scores,Valid,false
162,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,79,Scoring Engine -> Output- Asset Scores,Valid,false
163,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,80,Scoring Engine -> Output- Asset Scores,Valid,false
174,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,81,Scoring Engine -> Output- Asset Scores,Valid,false
175,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,82,Scoring Engine -> Output- Asset Scores,Valid,false
176,LAS05,Las Vegas-Downtown,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,83,Scoring Engine -> Output- Asset Scores,Valid,false
253,DEN03,Denver-Aurora,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,84,Scoring Engine -> Output- Asset Scores,Valid,false
254,DEN03,Denver-Aurora,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,85,Scoring Engine -> Output- Asset Scores,Valid,false
255,DEN03,Denver-Aurora,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,86,Scoring Engine -> Output- Asset Scores,Valid,false
256,DEN03,Denver-Aurora,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,87,Scoring Engine -> Output- Asset Scores,Valid,false
405,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,88,Scoring Engine -> Output- Asset Scores,Valid,false
406,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,89,Scoring Engine -> Output- Asset Scores,Valid,false
407,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,90,Scoring Engine -> Output- Asset Scores,Valid,false
408,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,91,Scoring Engine -> Output- Asset Scores,Valid,false
409,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,92,Scoring Engine -> Output- Asset Scores,Valid,false
410,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,93,Scoring Engine -> Output- Asset Scores,Valid,false
411,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,94,Scoring Engine -> Output- Asset Scores,Valid,false
412,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,95,Scoring Engine -> Output- Asset Scores,Valid,false
413,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,96,Scoring Engine -> Output- Asset Scores,Valid,false
